순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
68,9788932923413,119609441,꿀벌의 예언 1,"15,120원",840원,베르나르 베르베르 저/전미연 역,열린책들,"인류의 미래를 둘러싸고 펼쳐지는 대모험
과학적 상상력과 역사적 사유가 만나 시작되는
기상천외하고도 매혹적인 이야기!

전 세계 3천만 부, 한국어판 누계 3천 쇄를 돌파한 신화적 베스트셀러 작가 베르나르 베르베르의 신작 소설 『꿀벌의 예언』. 꿀벌이 사라지고 인류 멸종의 위기가 닥친 30년 뒤의 지구를 목격한 르네는 미래를 바꾸기 위해 시공간을 넘나드는 모험을 떠난다. 인류를 구할 방법이 적힌 고대의 예언서 「꿀벌의 예언」을 찾아 과거와 미래를 오가는 르네와 그 일행은 과연 예언서를 찾아 지구를 구할 수 있을까?

한국 독자들을 만난 지 30년이 되는 특별한 해에 펴내는 『꿀벌의 예언』은 그간 천재적 이야기꾼으로서 진화를 거듭해 온 베르베르의 여정이 고스란히 드러나는 독특한 작품이다. 특유의 독보적인 과학적 상상력에 과거와 미래를 성찰하는 역사적 사유 또한 더해, 한층 확장된 스케일의 색다른 재미를 느끼게 한다.",1,국내도서-소설/시/희곡
69,9788932027623,19501511,몸의 일기,"15,300원",850원,다니엘 페나크 저/조현실 역,문학과지성사,"그래, 리종, 이건 
오로지 내 몸에 관한 일기란다.

배설, 성장통, 성(性), 질병, 노화, 죽음
가식도 금기도 없는 한 남자의 내밀한 기록
『소설처럼』의 작가 다니엘 페나크가 차린 ‘삶’의 성찬!

세상을 떠난 아버지가 사랑하는 딸에게 남긴 선물. 그 선물은 바로 “평생 동안 몰래 써온 일기장”이다. 30년 가까이 중고등학교에서 프랑스어를 가르친 선생님, ‘말로센 시리즈’와 어린이 책 ‘까모 시리즈’ ? 『소설처럼』 『학교의 눈물』의 작가, 기발한 상상력과 소박하면서도 재치 있는 입담으로 대중성과 문학성을 두루 인정받는 프랑스 작가 다니엘 페나크의 장편소설 『몸의 일기』가 문학과지성사에서 출간되었다.

2012년 출간 당시, 제목부터 독특한 이 소설은 프랑스 서점가에 센세이션을 불러 일으켰다고 한다.",1,국내도서-소설/시/희곡
70,9788932915708,7114392,한 여자,"12,420원",690원,아니 에르노 저/정혜용 역,열린책들,아니 에르노는 노르망디의 소읍 이브토에서 카페 겸 식료품점을 운영하던 부모 아래 자란 자신의 유년 시절로부터 시작하는 자전적 소재에 몰두하며 모든 픽션을 거부한다. 역사적 경험과 개인적 체험을 혼합한 그녀의 작품들은 그녀와 그녀를 둘러싼 이들의 삶을 철저하게 해부한다.,1,국내도서-소설/시/희곡
71,9791197182235,105248714,에린 왕자,"9,900원",550원,앙투안 드 생텍쥐페리 원저/심재홍 편역,이팝,『에린 왕자』는 도서출판 이팝의 두번째 단행본으로 앙투안 드 생텍쥐페리(Antoine de Saint-Exupery)의 소설 어린 왕자를 전라 방언으로 번역한 작품이다. 원작에 충실하면서도 전라 방언이 자연스럽게 반영되도록 번역에 공들였다. 장단음 표기를 더해 소리내어 읽는 즐거움 뿐만 아니라 판소리 전공자가 참여한 오디오북으로 한국의 전통 소리의 근간이 되는 전라 방언을 듣는 재미도 발견할 수 있다. 『에린 왕자』도 경상 방언과 사투리로 번역한 『애린 왕자』와 같이 언어 수집 전문 독일 출판사와 협업으로 제작했으며 2021년 9월 해외에 먼저 선보였다. 이국적인 표지와 서체를 통해 한글의 조형적 미감을 색다른 시선으로 즐길 수 있다. 『에린 왕자』는 독일 출판사 Tintenfass Edition 154번에 수록됐다.,1,국내도서-소설/시/희곡
72,9788937460951,428386,적과 흑 1,"9,450원",520원,스탕달 저/이동렬 역,민음사,"19세기 프랑스 문학의 거장 스탕달의 대표작
신분과 계급의 벽을 넘어 비상을 시도한 젊은이의 사랑과 욕망의 모험담
낭만주의가 팽배하던 시대에 사실주의 문학의 문을 연 선구적 작품

“어떤 사람이 당신에게 가치 있는 인간으로 보이는가? 그렇다면 그가 욕망하는 모든 것, 그가 시도하는 모든 것 앞에 장애물을 놓아 보라.”

쥘리앵 소렐은 나폴레옹이 몰락한 후 군인으로 성공하기 힘든 시기임에도 여전히 나폴레옹을 숭배하는 하층 계급 청년이다. 드 레날 씨의 집에서 가정교사로 일하던 쥘리앵은 부르주아에 대한 증오심 때문에 충동적으로 드 레날 부인을 유혹했다가, 나중에는 진심으로 그녀를 사랑하게 된다. 하지만 그 염문 탓에 쥘리앵은 드 레날 씨의 집을 떠나 브장송의 신학교에 들어간다. 신학교에서 인정을 받은 쥘리앵은 추천을 통해 파리 대귀족 드 라 몰 후작의 비서가 된다. 그는 드 라 몰 후작의 거만한 딸 마틸드를 정복해 임신시키고, 후작은 어쩔 수 없이 두 사람의 결혼을 허락한다.",1,국내도서-소설/시/희곡
73,9791187192596,49855699,어린왕자,"7,200원",400원,앙투안 마리 드 생텍쥐페리 저/이정서 역,새움,"tu도 ‘너’, vous도 ‘너’
Bonjour도 ‘안녕’, Bonsoir도 ‘안녕'
기존 번역은 정말 맞는 것이었을까?

『성경』 다음으로 많이 읽힌, 세상에서 가장 아름다운 이야기로 손꼽히는 생텍쥐페리의 『어린 왕자』. 사람들은 먼 별에서 지구를 찾은 어린 왕자가 전하는 짧은 메시지들에 가슴을 적신다. 

“사막이 아름다운 것은 우물을 숨기고 있기 때문이야.” 
“네가 네 시에 온다면 나는 세 시부터 행복해지기 시작할 거야.”

그러나 『어린 왕자』가 지구인들에게 전하는 메시지는 그 정도를 훨씬 뛰어넘는다. 그런데 지금까지의 『어린 왕자』 번역이 그 소중한 메시지를 누락시켰다면, 우리가 읽어온 『어린 왕자』 번역에 숱한 오류가 있다면 어떻게 받아들여야 할까? 

2014년 알베르 카뮈 『이방인』, 2017년 스콧 피츠제럴드의 『위대한 개츠비』를 번역하면서 출판계와 학계에 자성의 목소리를 이끌어 냈다는 평을 받은 번역가 이정서.",1,국내도서-소설/시/희곡
74,9788932924397,127095422,퀸의 대각선 1,"15,120원",840원,베르나르 베르베르 저/전미연 역,열린책들,"탁월한 이야기꾼 베르나르 베르베르가 빚어낸
인류의 미래를 건 치열한 한 판 승부

언제나 기상천외한 이야기로 독자들에게 놀라움과 즐거움을 안겨 주는 베르나르 베르베르가 신작 소설 『퀸의 대각선』으로 돌아왔다. 개인의 뛰어난 역량이 인류 진보의 원동력이라고 믿는 모니카와, 함께 뭉친 집단이 역사를 움직인다고 믿는 니콜, 두 여성이 국제 정치 무대에서 격돌하면서 벌어지는 일을 다룬 작품이다. 둘 중 최후의 승자가 되는 건 누구일까? 과연 인류 진보의 행방은 어느 쪽에 달려 있을까? 베르나르 베르베르는 개인의 힘과 집단의 힘이라는 정반대의 신념을 가진 두 주인공이 펜타곤부터 메카까지 전 세계를 누비며 맞서 싸우는 과정을 통해 현대 국제 정세를 한눈에 훑으며 지적인 쾌감을 느끼게 하는 동시에 매번 승패를 가늠할 수 없는 아슬아슬한 승부로 소설 읽기의 즐거움 또한 한가득 펼쳐 보여 준다.",1,국내도서-소설/시/희곡
75,9788954609067,3636218,황금 물고기,"12,600원",700원,르 클레지오 저/최수철 역,문학동네,"2008년 노벨문학상 수상자 르 클레지오의 대표작
특유의 서정적 언어로 그려낸 한 소녀의 눈부신 성장기

프랑스 현대 문단의 살아 있는 신화이자 2008년 노벨문학상 수상자인 르 클레지오의 대표작. 순수문학으로는 이례적으로 출간되자마자 장기간 베스트셀러 1위의 자리를 지킨 이 작품은 예닐곱 살 때 유아 인신매매단에게 납치된 한 소녀의 인생 역정을 그리고 있다.

‘밤‘이라는 뜻의 라일라라는 이름의 소녀는 예닐곱 살 무렵에 유괴를 당한다.",1,국내도서-소설/시/희곡
76,9788932909714,3647153,캉디드 혹은 낙관주의,"11,520원",640원,볼테르 저/이봉지 역,열린책들,"볼테르의 철학적 사유가 녹아 있는 풍자 소설

볼테르의 정치, 사회, 철학사상을 명쾌하고 기지에 찬 풍자소설이다. 웃음을 통해서 지성에 호소하는 철학적 콩트의 대표작으로써 가장 예술적 가치가 높게 평가되고 있다. 또한 당시의 모순된 사회와 정치, 부패한 성직자들, 그리고 대중의 어리석음, 특히 전쟁과 종교적 불관용에 대해 신랄하게 비판하여 화제가 되었된 18세기 프랑스 최고의 걸작으로 꼽힌다.",1,국내도서-소설/시/희곡
77,9791195949946,43311615,음악 혐오,"17,820원",990원,파스칼 키냐르 저/김유진 역,프란츠,"음악은 아름다운 것인가, 저주스러운 것인가? 
― 공쿠르상 수상 작가 파스칼 키냐르가 말하는 음악의 시원과 본질 

『음악 혐오』는 문학, 역사, 철학, 신화, 예술 등을 폭넓게 넘나들며 고유한 문학적 영토를 일구어 온 파스칼 키냐르Pascal Quignard(1948∼ )가 음악의 시원과 본질을 탐색한 작품이다. 음악에 대한 전면적인 거부처럼 들리는 이 책의 제목은 보는 이에게 본능적인 당혹감을 준다. 그는 대대로 음악가를 배출한 집안에서 자랐고 그 자신 역시 뛰어난 첼리스트이자 작곡가로도 활동했다. 게다가 이보다 5년 앞서 발표하여 평단과 대중으로부터 고른 지지를 받은 『세상의 모든 아침』에서는 바로크 음악의 아름다움을 선보였던 그이기에 의문은 더 커진다. 

키냐르의 음악 증오는 그가 줄곧 보여 준, 뿌리 뽑힌 현재에 대한 근본주의적 부정의 맥락 안에서 이해할 수 있을 듯하다.",1,국내도서-에세이
78,9788932924403,127095428,퀸의 대각선 2,"15,120원",840원,베르나르 베르베르 저/전미연 역,열린책들,"탁월한 이야기꾼 베르나르 베르베르가 빚어낸
인류의 미래를 건 치열한 한 판 승부

언제나 기상천외한 이야기로 독자들에게 놀라움과 즐거움을 안겨 주는 베르나르 베르베르가 신작 소설 『퀸의 대각선』으로 돌아왔다. 개인의 뛰어난 역량이 인류 진보의 원동력이라고 믿는 모니카와, 함께 뭉친 집단이 역사를 움직인다고 믿는 니콜, 두 여성이 국제 정치 무대에서 격돌하면서 벌어지는 일을 다룬 작품이다. 둘 중 최후의 승자가 되는 건 누구일까? 과연 인류 진보의 행방은 어느 쪽에 달려 있을까? 베르나르 베르베르는 개인의 힘과 집단의 힘이라는 정반대의 신념을 가진 두 주인공이 펜타곤부터 메카까지 전 세계를 누비며 맞서 싸우는 과정을 통해 현대 국제 정세를 한눈에 훑으며 지적인 쾌감을 느끼게 하는 동시에 매번 승패를 가늠할 수 없는 아슬아슬한 승부로 소설 읽기의 즐거움 또한 한가득 펼쳐 보여 준다.",1,국내도서-소설/시/희곡
79,9788932911472,4443905,80일간의 세계 일주,"12,420원",690원,쥘 베른 저/고정아 역,열린책들,"진정한 공상 과학 소설의 고전

1872년 당시 프랑스 유명 잡지에 80일 만에 세계 일주를 할 수 있다는 기사가 실린 뒤 그에 대한 찬반토론이 활발했던 때 쓰여진 작품이다. 이 책이 연재될 당시, 책의 내용처럼 어떤 사람들은 주인공 포그가 성공하리라는 쪽에 내기를 걸고 또 다른 사람들은 실패하리라는 쪽에 내기를 걸어 당대 큰 이슈가 된 바 있다. 이 작품은 호기로운 도전, 장벽을 헤쳐 나가는 번뜩이는 재치와 불굴의 용기, 아쉬운 실망과 경쾌한 반전이 어우러져 무한한 꿈과 아름다운 낭만을 동시에 선사해준다.",1,국내도서-소설/시/희곡
80,9788937460968,428388,적과 흑 2,"9,450원",520원,스탕달 저/이동렬 역,민음사,"19세기 프랑스 문학이 산출한 탁월한 걸작 『적과 흑』이 민음사의 세계문학전집으로 출간되었다. 이 작품의 고전으로서의 평판과 문학사적 가치에 대해서는 새삼스러운 언급이 필요 없을 정도로, 『적과 흑』은 이미 전 세계적으로 뛰어난 가치를 인정받고 수많은 스탕달 애호가들을 탄생시켰다. 낭만주의적 목가가 판치는 시대에 한 시대상을 구체적으로 증언하며 리얼리즘 문학의 장을 연 스탕달은, 매력적인 주인공 쥘리엥 소렐의 삶과 사랑의 이야기를 통해 예...",2,국내도서-소설/시/희곡
81,9788998046330,12344502,어린 왕자 영어판 The Little Prince 더 리틀 프린스,"10,800원",600원,앙투안 드 생텍쥐페리 저/김동근 역,소와다리,"1943년에 발행된 초판본을 충실히 재현한 오리지널 디자인

『어린 왕자』는 생텍쥐페리의 고국 프랑스가 아닌 미국 뉴욕에서 영어로 먼저 발행이 됐다. 온 유럽이 2차대전의 불길에 휩싸여 있었기 때문이다. 그로부터 2달 후 프랑스어는 물론 세계 각국의 언어로 발행이 된 『어린 왕자』는 전 세계 사람들에게 희망의 메시지를 전하기 시작했다. 이 책은 1943년 초판본의 디자인을 그대로 재현했다.",1,국내도서-소설/시/희곡
82,9788984374393,106228269,구해줘 Sauve-moi,"13,950원",770원,기욤 뮈소 저/윤미연 역,밝은세상,"모두가 꿈꾸던 단 하나의 사랑이 온다! 
- 기욤 뮈소를 프랑스 최고의 베스트셀러 작가로 만든 전설의 시작!

2006년에 『구해줘』의 초판이 나왔으니 어느새 16년의 세월이 흘렀다. 〈도서출판 밝은세상〉은 지난 16년 동안 달라진 맞춤법에 따라 일부 어휘를 수정하는 한편 등장인물들이 시대에 맞지 않는 어투를 사용하는 부분이 더러 있어 새로운 교정 작업을 거쳐 개정판을 발행하게 되었다. 『구해줘』는 아마존 프랑스 85주 연속 베스트셀러 1위를 기록했고, 국내 주요서점 200주 이상 베스트셀러에 등재되었다. 기욤 뮈소를 프랑스 최고의 베스트셀러 작가로 만든 전설은 『구해줘』로부터 비롯되었다고 해도 과언이 아니다. 『구해줘』는 우리나라에서만 100만 부 이상 판매되며 기욤 뮈소 신드롬을 불러일으켰고, 20년 가까이 독자들로부터 깊은 사랑을 받고 있다. 

기욤 뮈소는 매년 『르 피가로』지와 〈프랑스서점연합회〉에서 조사하는 베스트셀러 작가 순위에서도 8년 연속 1위를 기록했다.",1,국내도서-소설/시/희곡
83,9788932923949,125387374,모파상 단편선,"7,920원",440원,기 드 모파상 저/임미경 역,열린책들,"정수만을 담아 간결하고 간편하게
열린책들 세계문학 모노 에디션

열린책들 세계문학에서 꾸준히 사랑받아 온 작품들을 엄선한 컬렉션이 모노 에디션이라는 이름으로 선보인다. 세계문학 전집의 정수만을 담아 한층 간결하고 간편한 형태로 펴낸 모노 에디션은 작품 선정에서 책의 장정까지, 덜어 내고 또 덜어 내 고갱이만을 담았다. 열린책들 세계문학이 풍성한 목록과 견고한 하드커버 장정으로 독자들과 만나 왔다면 모노 에디션은 엄선한 목록과 가벼운 장정, 8,800원이라는 파격적인 가격으로 좀 더 친숙하고 쉽게 고전들을 만나는 기회를 열어 준다. 또한 최대한 덜어 내되 디자인과 품질에 대한 고민은 더 많이 녹여 내 최소한으로도 모자람이 없는 완결성을 추구했다. 열린책들 세계문학과 모노 에디션, 이제 이 두 가지 선택지로 자신의 독서 습관과 취향에 맞게 빛나는 고전들을 만날 수 있을 것이다.",1,국내도서-소설/시/희곡
84,9791139721928,144216860,페스트,"10,800원",600원,알베르 카뮈 저/유기환 역,현대지성,"21세기 팬데믹을 비춘 20세기 카뮈의 예언적 작품
종교도 이성도 힘을 잃은 절망의 시대, 
희망을 향한 평범한 사람들의 연대

카뮈 문체 특유의 리듬과 뉘앙스를 충실히 살린 번역
뭉크부터 클림트까지 삶과 죽음을 다룬 명화 15점 수록

★ 1957년 노벨문학상 수상 작가 알베르 카뮈의 대표작
★ 프랑스어판 500만 부 판매, 전 세계 약 50개 언어 번역 출간
★ “지금도 위대하지만 앞으로 더 위대해질 책” - 루이 기유, 소설가

1947년 발표된 알베르 카뮈의 『페스트』는 단순한 전염병 소설이 아니다. 동시대인들에게는 나치즘과 제2차 세계대전의 폭력성에 대한 저항을 상징하는 작품으로, 21세기에는 코로나19의 시대적 상황을 예언한 작품으로 사랑받으며 세계적 베스트셀러가 되었다. ",1,국내도서-소설/시/희곡
85,9788937456121,124095493,디 에센셜 알베르 카뮈,"15,300원",850원,알베르 카뮈 저/김화영 역,민음사,"당신이 지금 만나야 할 알베르 카뮈,
소설×에세이를 한 권에 읽는다!

‘디 에센셜’ 시리즈는 세계적인 작가의 대표 소설과 에세이를 한 권에 담아, 이 책을 읽은 독자 누구든 단 한 문장으로 작가의 특징을 정의할 수 있게 큐레이션 한 시리즈다. 조지 오웰, 버지니아 울프, 다자이 오사무, 어니스트 헤밍웨이, 헤르만 헤세, 김수영에 이어 소개하는 일곱 번째 작가는 마흔네 살이란 젊은 나이에 노벨 문학상을 수상한 실존주의 문학의 대표 작가 알베르 카뮈. 

『디 에센셜 알베르 카뮈』에는 롤랑 바르트의 “카뮈는 신화가 되었다. 그를 인정하느냐 안 하느냐는 이제 별 의미가 없다.",1,국내도서-소설/시/희곡
86,9791190818247,124516033,세계명작 단편소설 모음집,"13,320원",740원,알퐁스 도데 등저/최경락 그림/김이랑 역,시간과공간사,"중고등학생부터 성인까지 평생 꼭 한 번은 읽어야 할 
유명작가들의 단편을 한 권에 담았다!
스치듯 읽었거나 제목만 알고 있던 단편소설, 
이 책으로 확실히 알아두자

《세계명작 단편소설 모음집》에는 마지막 수업, 별, 목걸이, 베니스의 상인, 마지막 잎새, 크리스마스의 선물, 사람은 무엇으로 사는가, 큰 바위 얼굴, 변신 등 어딘가에서 이미 만났거나 한 번쯤 들어본 유명한 작품은 물론 제목만으로는 약간 낯선 비곗덩어리, 어셔 집안의 몰락, 20년 후, 외투, 고향 등 우리가 살면서 꼭 한 번은 읽어야 할 유명 작가들의 대표적 단편소설을 담았다. 교과서에서 읽었거나 책꽂이에서 굴러다니는 것을 대강 읽고 넘어갔던 그 명작 단편소설들이다. 알퐁스 도데, 오 헨리, 앙드레 지드, 이반 투르게네프 등과 장편으로 더 유명한 윌리엄 셰익스피어, 레프 톨스토이, 루쉰, 프란츠 카프카 등 동서양의 대표 소설가들이 써 내려간 대표적 단편소설이다.",1,국내도서-소설/시/희곡
87,9788937461897,3105048,말,"12,600원",700원,장폴 사르트르 저/정명환 역,민음사,"노벨상에 선정되고도 최초로 그 수상을 거부한 작품 『말』. 1964년 10월 22일, 사르트르의 회고록 『말』이 노벨 문학상에 선정되었으나 사르트르는 노벨상의 서양 편중과 작가의 독립성 침해, 문학의 제도권 편입 반대 등을 이유로 수상을 거부하였다.

『말』은 한 살 때 아버지를 여읜 사르트르가 외조부의 집에서 어머니와 함께 보낸 유년 시절로부터 시작된다. 르트르의 어린 시절은 ‘책 읽기’와 ‘글쓰기’를 빼놓고는 이야기할 수 없는데, 이에 따라 책 역시 1부 ‘읽기’와 2부 ‘쓰기’로 구성되어 있다.",2,국내도서-소설/시/희곡
88,9788954687898,112251367,부서진 사월,"12,600원",700원,이스마일 카다레 저/유정희 역,문학동네,"신화와 전설이 탄생시킨 삶의 비극적 부조리성
이스마일 카다레가 그려낸 인간 실존의 서사시 

매해 노벨문학상 후보로 거론되는 세계적인 작가이자 동유럽이 낳은 문호 이스마일 카다레의 장편소설 『부서진 사월』이 문학동네 세계문학전집으로 다시 선보인다. 『부서진 사월』은 알바니아 북부 고원지대를 배경으로 인간 실존의 비극을 아름답고도 신비로운 분위기로 형상화한 장편소설로, 전통 관습법 ‘카눈’이라는 충격적인 소재와 서늘한 눈빛 같은 냉정한 묘사로 강렬한 흡인력을 발휘하며 출간 이래 많은 독자들의 꾸준한 사랑을 받아왔다.",1,국내도서-소설/시/희곡
89,9788937456107,115027399,잃어버린 시간을 찾아서 7~13 세트,"80,100원","4,450원",마르셀 프루스트 저/김희영 역,민음사,"14년간 글을 쓴 마르셀 프루스트, 10년간 번역한 불문학자 김희영 
20세기 최고의 문학을 21세기 감각과 언어로 재탄생시키다
마지막 7편 「되찾은 시간」(민음사판 12, 13권) 출간으로 
『잃어버린 시간을 찾아서』 완간 대장정 완성!

마르셀 프루스트 서거 100주년이 되는 올해, 『잃어버린 시간을 찾아서』 마지막 7편 「되찾은 시간」(민음사판 12, 13권)이 민음사에서 출간됨으로써 총 13권이 완간되었다. 1편 「스완네 집 쪽으로」, 2편 「꽃핀 소녀들의 그늘에서」, 3편 「게르망트 쪽」, 4편 「소돔과 고모라」, 5편 「갇힌 여인」, 6편 「사라진 알베르틴」에 이어 10년 만의 결실이다. 『잃어버린 시간을 찾아서』는 총 7편에 이르는 연작 소설로서, 그 분량을 합하면 수천 쪽에 이르는 방대한 작품이다.",1,국내도서-소설/시/희곡
90,9791164456444,117846967,초판본 어린 왕자,"10,800원",600원,앙투안 생텍쥐페리 저/김미정 역,더스토리,"세상에서 가장 순수한 영혼, 『어린 왕자』 오리지널 초판본 표지디자인!

생텍쥐페리는 프랑스의 유명한 소설가로, 그의 작품 『어린 왕자』는 전 세계적으로 『성경』, 『자본론』 다음으로 많이 읽히는 책이다. 250여 개 언어로 번역되었고 1억 부 이상이 팔렸다. 그런데 아이러니하게도 『어린 왕자』는 프랑스가 아니라 미국 뉴욕에서 처음 출판되었다. 당시 생텍쥐페리는 제2차 세계대전으로 미국에서 망명 중이었고, 『어린 왕자』는 1943년 4월 6일에 영어판과 프랑스어판으로 뉴욕에서 동시 출간되었다.

더스토리에서 출간한 무선 초판본 표지디자인 『어린 왕자』는 1943년 뉴욕에서 출판된 프랑스어판 초판본 표지디자인을 그대로 되살렸다. 어둡지도 너무 빛바래지도 않은 노란색 표지와 어린 왕자의 연둣빛 옷의 색감이 잘 살아 있으며, 본문에는 생텍쥐페리의 친필 사인이 들어 있다. 또한 작가가 직접 그린 일러스트들이 시적이고 아름다운 어린 왕자의 이야기를 더욱 풍성하게 만들어준다.",1,국내도서-소설/시/희곡
91,9788932923598,123151789,개미 (2),"14,220원",790원,베르나르 베르베르 저/이세욱 역,열린책들,"영원한 베스트셀러 『개미』를 다시 만나다

발간과 동시에 신선한 충격을 주며 기념비적 베스트셀러가 된 『개미』가 새로운 얼굴로 독자들을 다시 만난다. 개미라는 작디작은 생명체의 눈으로 바라본 흥미로운 인간의 모습과, 개미와 인간 세계를 오가는 장대한 모험을 담은 이 이야기는 여전히 여느 작품이 넘볼 수 없는 독창성과 상상력, 재미를 보장한다. 개미와 인간, 각각의 세계를 덮친 위험을 뒤쫓다가 그 길에서 서로의 존재를 발견하게 되는 1부 「개미」(1권), 개미와 인간의 직접적인 조우가 일으킨 갈등과 폭력, 그리고 종간의 화해를 모색하는 이들의 노력을 그린 2부 「개미의 날」(2, 3권), 개미들에게 감화받아 개미 혁명을 시작하려는 사람들의 이야기인 3부 「개미 혁명」(4, 5권)까지, 베르베르는 정교한 미스터리와 거대한 스케일, 천재적인 상상력으로 독자들을 이 방대하고 생생한 활극의 대단원까지 거침없이 이끌어 나간다.",1,국내도서-소설/시/희곡
92,9788937463365,19673992,"좁은 문, 전원교향곡, 배덕자","12,600원",700원,앙드레 지드 저/동성식 역,민음사,"‘현대의 양심’ 앙드레 지드 대표 소설 선집
교리에 대한 자유로운 해석과 문학적 상상력을 통해 만나는 
진정한 해방과 구원

* 나는 오늘 죽을지 모른다. 나의 모든 작품은 『좁은 문』 뒤에서 사라질 수 있다. 사람들은 오직 『좁은 문』만 생각하게 될지도 모른다. -앙드레 지드
* 우리 시대 가장 위대한 작가 중 하나. -프랑시스 잠

앙드레 지드의 작품 중 가장 널리 알려진 대표작 「좁은 문」과 서정적이고 아름다운 소설 「전원교향곡」, 그리고 그의 초기작이자 자전적 이야기로 반드시 읽어야 할 작품이지만 국내에는 거의 번역, 소개되지 않은 「배덕자」, 세 작품을 엮은 지드 대표 소설 선집이 민음사 세계문학전집으로 출간되었다.",1,국내도서-소설/시/희곡
93,9788954685597,108239175,탐닉,"13,950원",770원,아니 에르노 저/조용희 역,문학동네,"중독과도 같은 사랑 그리고 기다림, 
그 시간을 날것으로 담아낸 내면의 기록
프랑스 현대문학의 거장 아니 에르노 대표작 『탐닉』 개정판

‘직접 체험하지 않은 허구를 쓴 적은 한 번도 없고 앞으로도 그럴 것’이라는 선언으로 자신의 작품세계를 규정하는 프랑스의 문제적 작가이자, 사회·역사·문학과 개인의 관계를 예리한 감각으로 관찰하며 가공도 은유도 없는 독보적인 작품세계를 이룩해온 아니 에르노. 2011년 선집 『삶을 쓰다』가 생존 작가로는 최초로 갈리마르 총서에 편입되는 기록을 세웠으며, 최근 들어 노벨문학상 유력 후보로 거론되는 작가이기도 하다. 문학동네에서는 『삶을 쓰다』에 실렸던 글들을 추려 재수록한 『카사노바 호텔』 출간과 함께, 대표작 『탐닉』과 『집착』의 개정판을 새로운 표지로 단장해 선보인다. 

『탐닉』은 아니 에르노가 1991년 발표한 소설 『단순한 열정』의 모티프가 된 일기를 모은 책이다.",1,국내도서-소설/시/희곡
94,9791139710311,117366551,이방인,"6,930원",380원,알베르 카뮈 저/유기환 역,현대지성,"익숙한 세계를 벗어나 진정한 자신을 찾는 독자들에게
마르지 않는 성찰의 재료가 되어준 소설

일러스트레이터 윤예지의 컬러 일러스트 11점 수록

1942년 독일 점령하에 놓인 잿빛 파리에서 눈부신 알제리의 태양이 지배하는 소설 『이방인』이 출간되었다. 이 소설은 출간 즉시 반향을 일으켜, ‘이방인’ 같은 존재였던 카뮈를 일약 문단의 총아로 만들어주었다. 『이방인』은 끊임없이 독자들에게 저항하면서 단일한 해석을 거부하는 까닭에, 출간 이후 줄곧 베스트셀러 자리를 지키며 지금도 큰 사랑을 받고 있다.

『이방인』은 주인공 뫼르소의 엄마가 죽었다는 전보로 시작된다. 뫼로소는 전보를 받고 마렝고의 양로원으로 간다. 무심한 그의 태도에 양로원 사람들은 놀란다. 이튿날 그는 해변에서 옛 사무실 동료 마리를 만나고, 함께 코미디 영화를 보고 해수욕을 즐긴다. 어느 날, 이웃 레몽을 우연히 만나 그의 아랍인 애인을 벌주려는 음모에 끌려들어간다.",1,국내도서-소설/시/희곡
95,9791196554835,92078998,타키니아의 작은 말들,"19,800원","1,100원",마르그리트 뒤라스 저/장소미 역,녹색광선,"뒤라스가 펼쳐 보이는 프랑스판 ‘부부의 세계’

『타키니아의 작은 말들』은 마르그리트 뒤라스가 이야기 서술자로서 자신의 능력을 실험해 본 기간에 집필한 소설이다. 그래서 그녀의 소설 중에서 전통소설과 가장 가까이 닿아있다. 소설의 중심인물은 소진된 사랑의 공허를 마주한 부부와 그들 앞에 나타난 낯선 남자다. 이 소설은 독자가 기대어 따라갈 수 있는 줄거리가 있고 중심 화자가 있으며 대화는 이야기를 진전시킬 뿐만 아니라 통찰력과 유머가 넘쳐난다. 개성이 뚜렷한 인물들은 인격의 와해를 겪지 않고 끝까지 살아남는다. 즉 쉽게 읽힌다. 

하지만 뒤라스는 뒤라스다. 자식의 죽음이나 외도와 같은 극적인 딜레마를 다루면서도 소설의 정서적 온도는 고조되는 일 없이 나른하다. 강렬한 심리적 위기의 순간에도 인물들은 머뭇거리고, 잠시 사이를 두고, 침묵하기 일쑤다. 소설에서 그들이 가장 빈번하게 하는 행위는 ‘바라보는’ 것이다.",1,국내도서-소설/시/희곡
96,9788932923642,122850131,뇌 1,"13,320원",740원,베르나르 베르베르 저/이세욱 역,열린책들,"새로운 모습으로 다시 찾아온 베르베르의 기념비적 걸작

과학적 연구 성과를 바탕으로 인간 머릿속의 작은 우주인 「뇌」의 세계를 신비롭고 매혹적으로 묘사한 『뇌』가 강렬하고 신선한 표지로 독자들에게 다시 찾아왔다. 『뇌』는 약혼자와 사랑을 나누다 사망한 체스 챔피언의 사인을 기자인 뤼크레스와 이지도르가 추적하면서, 인간에게 최상의 기쁨을 선사한다는 뇌 속 「최후 비밀」에 서서히 다가가는 이야기다. 그 과정에서 두 사람은 인간을 움직이는 궁극적 동기가 무엇인지 밝히고, 「우리는 누구인가」에 대한 답을 찾으려 한다. 서스펜스와 과학 지식과 모험담이 한데 엮인 이 소설은 추리적 기법이 사용되어 마지막 페이지까지도 눈을 뗄 수 없는 흥미로움과 즐거움을 선사한다.",1,국내도서-소설/시/희곡
